exp,Acc,F1,GP,GR
Exp-0_Full,0.64,0.7804878048780488,0.7804878048780488,0.7804878048780488
Exp-1_no_Temp,0.34,0.5074626865671641,0.53125,0.4857142857142857
Exp-2_no_Cross,0.46,0.6301369863013699,0.6388888888888888,0.6216216216216216
Exp-3_no_Dual,0.46,0.6301369863013699,0.6764705882352942,0.5897435897435898
Exp-4_Fixed,0.48,0.6486486486486486,0.6857142857142857,0.6153846153846154
Exp-5_MLP,0.5,0.6666666666666667,0.7575757575757576,0.5952380952380952
Exp-6_1Layer_MoE,0.42,0.5915492957746479,0.7,0.5121951219512195
Exp-7_UniLSTM,0.48,0.6486486486486487,0.7272727272727273,0.5853658536585366
Exp-8_no_Feat,0.42,0.5915492957746479,0.6176470588235294,0.5675675675675675
Exp-9_CE_Loss,0.46,0.6301369863013699,0.7931034482758621,0.5227272727272727
