Sample_Index,True_Label,Pred_Label
21,0,1
34,0,1
54,1,0
70,1,0
71,0,1
77,0,1
78,1,0
85,1,0
98,0,1
117,0,1
132,0,1
133,0,1
137,1,0
138,0,1
140,1,0
148,1,0
151,0,1
152,0,1
157,0,1
163,0,1
170,1,0
175,1,0
183,1,0
185,1,0
190,1,0
194,0,1
196,1,0
197,1,0
219,1,0
228,1,0
239,0,1
246,1,0
252,1,0
259,1,0
261,1,0
269,0,1
279,0,1
287,0,1
300,1,0
316,1,0
319,0,1
321,1,0
329,0,1
336,1,0
349,0,1
352,1,0
358,1,0
361,0,1
376,0,1
382,1,0
387,0,1
400,0,1
402,0,1
414,1,0
417,0,1
419,1,0
430,0,1
440,1,0
456,1,0
462,0,1
469,1,0
485,1,0
500,0,1
509,0,1
512,0,1
532,1,0
540,1,0
541,0,1
546,0,1
558,0,1
563,0,1
573,0,1
580,0,1
587,0,1
604,1,0
613,0,1
615,0,1
623,1,0
630,0,1
636,0,1
639,0,1
640,0,1
653,1,0
671,0,1
672,1,0
674,1,0
681,0,1
684,0,1
692,0,1
713,1,0
